utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 47151 36234 5487 268416 1363233170 126960 126860
7 5 0 0 47159 36234 5493 268454 1363233170 269288 269288
30 6 0 0 47175 36243 5495 268487 1363233170 313128 313128
80 7 0 0 47188 36281 5496 268492 1363233171 315608 315608
135 9 0 0 47200 36321 5498 268497 1363233171 315608 315608
184 9 0 0 47213 36357 5498 268504 1363233171 315608 315608
233 9 0 0 47224 36394 5499 268511 1363233171 315608 315608
282 10 0 0 47236 36431 5500 268516 1363233171 315608 315608
328 10 0 0 47246 36468 5501 268527 1363233171 315608 315608
382 10 0 0 47261 36510 5501 268533 1363233172 315608 315608
435 10 0 0 47273 36549 5502 268541 1363233172 315608 315608
487 10 0 0 47286 36587 5504 268547 1363233172 315608 315608
539 11 0 0 47297 36627 5505 268553 1363233172 315608 315608
589 11 0 0 47308 36667 5506 268560 1363233172 315608 315608
637 11 0 0 47319 36701 5506 268568 1363233172 315608 315608
684 11 0 0 47330 36738 5507 268578 1363233172 315608 315608
736 11 0 0 47342 36777 5508 268583 1363233173 315608 315608
785 11 0 0 47353 36815 5508 268593 1363233173 315608 315608
835 12 0 0 47366 36849 5509 268602 1363233173 315608 315608
880 12 0 0 47375 36887 5509 268611 1363233173 315608 315608
930 12 0 0 47388 36924 5509 268616 1363233173 315608 315608
975 12 0 0 47401 36959 5510 268623 1363233173 315608 315608
1030 13 0 0 47415 37003 5512 268628 1363233173 315608 315608
1089 13 0 0 47426 37051 5514 268638 1363233174 315608 315608
1145 14 0 0 47441 37097 5516 268644 1363233174 315608 315608
1207 14 0 0 47453 37144 5520 268653 1363233174 315608 315608
1263 14 0 0 47468 37187 5522 268660 1363233174 315608 315608
1316 14 0 0 47478 37229 5526 268667 1363233174 315608 315608
1364 15 0 0 47490 37269 5528 268678 1363233174 315608 315608
1419 15 0 0 47499 37317 5532 268684 1363233175 315608 315608
1470 15 0 0 47508 37358 5535 268696 1363233175 315608 315608
1534 15 0 0 47524 37407 5537 268699 1363233175 315608 315608
1585 15 0 0 47534 37451 5539 268712 1363233175 315608 315608
1641 16 0 0 47548 37494 5542 268719 1363233175 315608 315608
1706 16 0 0 47567 37539 5544 268721 1363233175 315608 315608
1765 16 0 0 47582 37582 5547 268727 1363233176 315608 315608
1820 16 0 0 47594 37631 5549 268732 1363233176 315608 315608
1885 16 0 0 47607 37685 5552 268736 1363233176 315608 315608
1945 16 0 0 47621 37732 5554 268739 1363233176 315608 315608
1999 16 0 0 47630 37775 5556 268743 1363233176 315608 315608
2047 17 0 0 47639 37813 5559 268753 1363233176 315608 315608
2100 18 0 0 47652 37855 5562 268759 1363233177 315608 315608
2146 19 0 0 47660 37894 5565 268774 1363233177 315608 315608
2201 19 0 0 47674 37933 5568 268780 1363233177 315608 315608
2259 20 0 0 47690 37980 5571 268784 1363233177 315608 315608
2311 20 0 0 47700 38019 5572 268794 1363233177 315608 315608
2370 20 0 0 47718 38068 5574 268796 1363233177 315608 315608
2429 20 0 0 47734 38111 5577 268806 1363233178 315608 315608
2488 20 0 0 47748 38154 5579 268814 1363233178 315608 315608
2541 21 0 0 47762 38191 5582 268821 1363233178 315608 315608
2582 21 0 0 47770 38227 5584 268836 1363233178 315608 315608
2644 21 0 0 47783 38277 5586 268837 1363233178 315608 315608
2693 21 0 0 47795 38313 5587 268845 1363233178 315608 315608
2746 22 0 0 47808 38351 5588 268851 1363233179 315608 315608
2796 22 0 0 47822 38387 5589 268857 1363233179 315608 315608
2840 22 0 0 47830 38424 5589 268867 1363233179 315608 315608
2892 22 0 0 47841 38464 5589 268874 1363233179 315608 315608
2942 22 0 0 47848 38507 5590 268883 1363233179 315608 315608
2990 22 0 0 47857 38544 5591 268889 1363233179 315608 315608
3036 23 0 0 47866 38582 5593 268896 1363233179 315608 315608
3088 25 0 0 47876 38619 5595 268905 1363233180 315608 315608
3138 25 0 0 47890 38661 5596 268912 1363233180 315608 315608
3185 26 0 0 47902 38693 5598 268919 1363233180 315608 315608
3230 26 0 0 47913 38728 5598 268930 1363233180 315608 315608
3279 26 0 0 47924 38764 5599 268938 1363233180 315608 315608
3327 27 0 0 47939 38797 5601 268951 1363233180 315608 315608
3383 28 0 0 47958 38834 5601 268954 1363233180 315608 315608
3433 28 0 0 47971 38874 5601 268961 1363233181 315608 315608
3491 28 0 0 47983 38920 5603 268965 1363233181 315608 315608
3547 28 0 0 47994 38969 5606 268967 1363233181 315608 315608
3606 29 0 0 48001 39018 5609 268973 1363233181 315608 315608
3663 30 0 0 48012 39065 5613 268979 1363233181 315608 315608
3717 32 0 0 48020 39112 5617 268987 1363233181 315608 315608
3773 32 0 0 48031 39158 5619 268992 1363233182 315608 315608
3832 33 0 0 48042 39206 5620 268996 1363233182 315608 315608
3881 33 0 0 48050 39250 5624 269006 1363233182 315608 315608
3935 34 0 0 48059 39296 5626 269010 1363233182 315608 315608
3995 34 0 0 48077 39340 5628 269012 1363233182 315608 315608
4050 35 0 0 48091 39384 5632 269018 1363233182 315608 315608
4107 36 0 0 48102 39426 5635 269025 1363233183 315608 315608
4165 36 0 0 48121 39465 5637 269028 1363233183 315608 315608
4221 36 0 0 48136 39506 5641 269033 1363233183 315608 315608
4275 37 0 0 48148 39554 5643 269039 1363233183 315608 315608
4343 37 0 0 48164 39605 5644 269044 1363233183 315608 315608
4399 37 0 0 48178 39648 5647 269047 1363233183 315608 315608
4457 38 0 0 48192 39693 5650 269056 1363233184 315608 315608
4512 38 0 0 48202 39733 5652 269064 1363233184 315608 315608
4565 39 0 0 48219 39772 5655 269073 1363233184 315608 315608
4615 39 0 0 48232 39812 5656 269080 1363233184 315608 315608
4664 40 0 0 48243 39848 5659 269091 1363233184 315608 315608
4715 41 0 0 48256 39889 5661 269097 1363233184 315608 315608
4770 41 0 0 48271 39932 5664 269104 1363233185 315608 315608
4827 41 0 0 48281 39973 5666 269110 1363233185 315608 315608
4881 42 0 0 48299 40013 5667 269117 1363233185 315608 315608
4939 42 0 0 48317 40054 5668 269123 1363233185 315608 315608
4999 42 0 0 48337 40097 5669 269124 1363233185 315608 315608
5057 42 0 0 48355 40136 5671 269130 1363233185 315608 315608
5117 42 0 0 48379 40176 5673 269133 1363233186 315608 315608
5172 42 0 0 48394 40213 5674 269137 1363233186 315608 315608
5223 42 0 0 48405 40253 5675 269144 1363233186 315608 315608
5272 43 0 0 48413 40293 5677 269151 1363233186 315608 315608
5321 43 0 0 48421 40333 5677 269158 1363233186 315608 315608
5365 43 0 0 48429 40367 5677 269170 1363233186 315608 315608
5412 43 0 0 48443 40402 5677 269179 1363233186 315608 315608
5460 44 0 0 48458 40433 5679 269185 1363233187 315608 315608
5506 44 0 0 48467 40472 5679 269195 1363233187 315608 315608
5555 44 0 0 48475 40511 5681 269202 1363233187 315608 315608
5601 45 0 0 48487 40546 5681 269213 1363233187 315608 315608
5645 46 0 0 48497 40578 5683 269222 1363233187 315608 315608
5696 46 0 0 48512 40610 5684 269228 1363233187 315608 315608
5746 46 0 0 48527 40643 5685 269233 1363233187 315608 315608
5797 46 0 0 48541 40681 5686 269238 1363233188 315608 315608
5842 47 0 0 48548 40718 5687 269246 1363233188 315608 315608
5893 48 0 0 48555 40759 5688 269252 1363233188 315608 315608
5942 48 0 0 48567 40800 5689 269259 1363233188 315608 315608
5995 48 0 0 48579 40835 5690 269266 1363233188 315608 315608
6047 48 0 0 48592 40877 5693 269270 1363233188 315608 315608
6102 49 0 0 48604 40921 5695 269277 1363233188 315608 315608
6155 51 0 0 48615 40962 5699 269287 1363233189 315608 315608
6209 51 0 0 48631 41002 5702 269292 1363233189 315608 315608
6265 51 0 0 48644 41042 5705 269295 1363233189 315608 315608
6319 51 0 0 48659 41086 5707 269300 1363233189 315608 315608
6380 51 0 0 48677 41130 5709 269303 1363233189 315608 315608
6438 52 0 0 48691 41173 5710 269307 1363233189 315608 315608
6497 53 0 0 48712 41212 5715 269310 1363233190 315608 315608
6554 53 0 0 48731 41249 5717 269313 1363233190 315608 315608
6614 54 0 0 48750 41296 5719 269318 1363233190 315608 315608
6674 54 0 0 48768 41334 5723 269321 1363233190 315608 315608
6734 54 0 0 48793 41374 5725 269324 1363233190 315608 315608
6800 54 0 0 48815 41417 5727 269329 1363233190 315608 315608
6857 54 0 0 48829 41461 5729 269332 1363233191 315608 315608
