utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 492714 173388 49503 1371139 1363237528 126992 126992
11 2 0 0 492726 173388 49506 1371178 1363237528 134396 134396
24 2 0 0 492740 173388 49506 1371217 1363237529 134396 134396
37 2 0 0 492753 173388 49507 1371255 1363237529 134396 134396
50 2 0 0 492766 173388 49507 1371293 1363237529 134396 134396
63 2 0 0 492779 173388 49507 1371331 1363237529 134396 134396
76 2 0 0 492792 173388 49509 1371370 1363237529 134396 134396
89 2 0 0 492805 173388 49509 1371407 1363237529 134396 134396
102 2 0 0 492818 173388 49509 1371446 1363237529 134396 134396
115 2 0 0 492832 173388 49510 1371484 1363237530 134396 134396
128 2 0 0 492844 173388 49510 1371522 1363237530 134396 134396
141 2 0 0 492858 173388 49511 1371560 1363237530 134396 134396
154 2 0 0 492871 173388 49511 1371598 1363237530 134396 134396
167 2 0 0 492884 173388 49512 1371636 1363237530 134396 134396
180 2 0 0 492897 173388 49513 1371675 1363237530 134396 134396
193 2 0 0 492910 173388 49513 1371712 1363237530 134396 134396
206 2 0 0 492924 173388 49514 1371751 1363237530 134396 134396
218 2 0 0 492936 173388 49514 1371789 1363237531 134396 134396
232 2 0 0 492950 173388 49515 1371827 1363237531 134396 134396
244 2 0 0 492962 173388 49515 1371864 1363237531 134396 134396
258 2 0 0 492976 173388 49518 1371902 1363237531 134396 134396
272 2 0 0 492992 173388 49519 1371942 1363237531 134396 134396
286 2 0 0 493008 173388 49521 1371982 1363237531 134396 134396
301 2 0 0 493022 173388 49524 1372023 1363237531 134396 134396
315 2 0 0 493038 173388 49525 1372063 1363237532 134396 134396
330 2 0 0 493054 173388 49527 1372103 1363237532 134396 134396
344 2 0 0 493069 173388 49529 1372142 1363237532 134396 134396
358 2 0 0 493084 173388 49532 1372182 1363237532 134396 134396
372 2 0 0 493099 173388 49534 1372223 1363237532 134396 134396
386 2 0 0 493114 173388 49536 1372263 1363237532 134396 134396
401 2 0 0 493128 173388 49538 1372303 1363237532 134396 134396
415 2 0 0 493144 173388 49540 1372343 1363237533 134396 134396
430 2 0 0 493159 173388 49542 1372383 1363237533 134396 134396
444 2 0 0 493174 173388 49545 1372423 1363237533 134396 134396
458 2 0 0 493189 173388 49548 1372463 1363237533 134396 134396
472 2 0 0 493205 173388 49550 1372504 1363237533 134396 134396
487 2 0 0 493220 173388 49553 1372544 1363237533 134396 134396
501 2 0 0 493235 173388 49555 1372584 1363237533 134396 134396
516 2 0 0 493251 173388 49557 1372624 1363237534 134396 134396
530 2 0 0 493265 173388 49559 1372664 1363237534 134396 134396
544 2 0 0 493281 173388 49561 1372704 1363237534 134396 134396
559 2 0 0 493296 173388 49564 1372744 1363237534 134396 134396
573 2 0 0 493312 173388 49565 1372784 1363237534 134396 134396
587 2 0 0 493326 173388 49566 1372824 1363237534 134396 134396
602 2 0 0 493341 173388 49567 1372864 1363237534 134396 134396
616 2 0 0 493356 173388 49570 1372903 1363237535 134396 134396
630 2 0 0 493373 173388 49570 1372945 1363237535 134396 134396
645 2 0 0 493388 173388 49571 1372984 1363237535 134396 134396
659 2 0 0 493406 173388 49572 1373025 1363237535 134396 134396
674 2 0 0 493420 173388 49574 1373065 1363237535 134396 134396
688 2 0 0 493436 173388 49576 1373105 1363237535 134396 134396
702 2 0 0 493452 173388 49578 1373145 1363237535 134396 134396
717 2 0 0 493467 173388 49581 1373185 1363237536 134396 134396
732 2 0 0 493484 173388 49583 1373229 1363237536 134396 134396
746 2 0 0 493499 173388 49584 1373267 1363237536 134396 134396
760 2 0 0 493514 173388 49585 1373307 1363237536 134396 134396
774 2 0 0 493527 173388 49586 1373345 1363237536 134396 134396
786 2 0 0 493540 173388 49586 1373383 1363237536 134396 134396
799 2 0 0 493553 173388 49587 1373421 1363237536 134396 134396
812 2 0 0 493566 173388 49587 1373459 1363237537 134396 134396
825 2 0 0 493579 173388 49588 1373497 1363237537 134396 134396
838 2 0 0 493592 173388 49589 1373535 1363237537 134396 134396
851 2 0 0 493605 173388 49589 1373574 1363237537 134396 134396
864 2 0 0 493618 173388 49591 1373612 1363237537 134396 134396
877 2 0 0 493631 173388 49591 1373650 1363237537 134396 134396
890 2 0 0 493644 173388 49591 1373688 1363237537 134396 134396
902 2 0 0 493658 173388 49592 1373727 1363237537 134396 134396
916 2 0 0 493670 173388 49592 1373764 1363237538 134396 134396
928 2 0 0 493684 173388 49593 1373803 1363237538 134396 134396
941 2 0 0 493696 173388 49593 1373841 1363237538 134396 134396
954 2 0 0 493710 173388 49593 1373879 1363237538 134396 134396
967 2 0 0 493723 173388 49594 1373917 1363237538 134396 134396
980 2 0 0 493736 173388 49595 1373955 1363237538 134396 134396
993 2 0 0 493750 173388 49596 1373994 1363237538 134396 134396
1007 2 0 0 493764 173388 49598 1374034 1363237538 134396 134396
1021 2 0 0 493778 173388 49600 1374073 1363237539 134396 134396
1035 2 0 0 493792 173388 49602 1374113 1363237539 134396 134396
1049 3 0 0 493806 173388 49604 1374152 1363237539 134396 134396
1063 3 0 0 493820 173388 49605 1374191 1363237539 134396 134396
1076 3 0 0 493834 173388 49607 1374231 1363237539 134396 134396
1090 3 0 0 493849 173388 49609 1374271 1363237539 134396 134396
1104 3 0 0 493864 173388 49611 1374311 1363237539 134396 134396
1119 3 0 0 493879 173388 49613 1374351 1363237540 134396 134396
1133 3 0 0 493893 173388 49617 1374391 1363237540 134396 134396
1147 3 0 0 493908 173388 49619 1374432 1363237540 134396 134396
1162 3 0 0 493923 173388 49621 1374472 1363237540 134396 134396
1176 3 0 0 493938 173388 49623 1374512 1363237540 134396 134396
1190 3 0 0 493954 173388 49624 1374552 1363237540 134396 134396
1205 3 0 0 493968 173388 49627 1374592 1363237540 134396 134396
1219 3 0 0 493984 173388 49628 1374633 1363237541 134396 134396
1234 3 0 0 494000 173388 49628 1374673 1363237541 134396 134396
1248 3 0 0 494017 173388 49629 1374713 1363237541 134396 134396
1262 3 0 0 494032 173388 49632 1374751 1363237541 134396 134396
1276 3 0 0 494047 173388 49634 1374791 1363237541 134396 134396
1291 3 0 0 494062 173388 49637 1374831 1363237541 134396 134396
1306 3 0 0 494077 173388 49640 1374872 1363237541 134396 134396
1320 3 0 0 494091 173388 49643 1374912 1363237542 134396 134396
1334 3 0 0 494106 173388 49646 1374952 1363237542 134396 134396
1348 3 0 0 494121 173388 49649 1374991 1363237542 134396 134396
1363 3 0 0 494136 173388 49651 1375032 1363237542 134396 134396
1377 3 0 0 494150 173388 49654 1375072 1363237542 134396 134396
1391 3 0 0 494165 173388 49656 1375112 1363237542 134396 134396
1405 3 0 0 494182 173388 49657 1375152 1363237542 134396 134396
1420 3 0 0 494197 173388 49659 1375192 1363237543 134396 134396
1434 3 0 0 494214 173388 49660 1375233 1363237543 134396 134396
1448 3 0 0 494228 173388 49662 1375272 1363237543 134396 134396
1463 3 0 0 494243 173388 49663 1375312 1363237543 134396 134396
1477 3 0 0 494258 173388 49664 1375352 1363237543 134396 134396
1491 3 0 0 494273 173388 49667 1375391 1363237543 134396 134396
1504 3 0 0 494286 173388 49667 1375429 1363237543 134396 134396
1517 3 0 0 494298 173388 49667 1375468 1363237544 134396 134396
1530 3 0 0 494312 173388 49668 1375505 1363237544 134396 134396
1543 3 0 0 494325 173388 49668 1375544 1363237544 134396 134396
1556 3 0 0 494338 173388 49669 1375582 1363237544 134396 134396
1569 3 0 0 494351 173388 49669 1375620 1363237544 134396 134396
