utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 1413387 507279 139775 4063097 1363247667 126960 126960
12 2 0 0 1413400 507279 139779 4063137 1363247668 129820 129820
20 8 0 0 1413409 507279 139787 4063177 1363247668 173476 173476
44 9 0 0 1413437 507279 139790 4063206 1363247668 174168 174168
74 10 0 0 1413473 507279 139792 4063233 1363247668 174168 174168
102 10 0 0 1413501 507279 139795 4063260 1363247668 174168 174168
129 12 0 0 1413528 507279 139798 4063286 1363247668 174168 174168
158 12 0 0 1413562 507279 139801 4063313 1363247668 174168 174168
186 13 0 0 1413591 507279 139805 4063340 1363247669 174168 174168
214 14 0 0 1413620 507279 139809 4063367 1363247669 174168 174168
241 15 0 0 1413646 507279 139811 4063394 1363247669 174168 174168
269 15 0 0 1413675 507279 139813 4063421 1363247669 174168 174168
296 16 0 0 1413707 507279 139815 4063448 1363247669 174168 174168
324 17 0 0 1413741 507279 139817 4063476 1363247669 174168 174168
353 17 0 0 1413772 507279 139818 4063503 1363247669 174168 174168
380 18 0 0 1413800 507279 139822 4063528 1363247670 174168 174168
406 20 0 0 1413825 507279 139825 4063555 1363247670 174168 174168
434 22 0 0 1413853 507279 139828 4063581 1363247670 174168 174168
460 23 0 0 1413878 507279 139831 4063607 1363247670 174168 174168
487 23 0 0 1413909 507279 139834 4063634 1363247670 174168 174168
515 24 0 0 1413938 507279 139837 4063661 1363247670 174168 174168
542 25 0 0 1413966 507279 139841 4063688 1363247670 174168 174168
568 26 0 0 1413993 507279 139844 4063715 1363247671 174168 174168
595 28 0 0 1414019 507279 139848 4063741 1363247671 174168 174168
621 30 0 0 1414041 507279 139850 4063769 1363247671 174168 174168
647 30 0 0 1414071 507279 139853 4063795 1363247671 174168 174168
675 31 0 0 1414101 507279 139856 4063823 1363247671 174168 174168
702 33 0 0 1414124 507279 139859 4063849 1363247671 174168 174168
