utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 945439 339023 93746 2905985 1363243046 126960 126960
14 2 0 0 945451 339027 93750 2906020 1363243046 227436 227436
56 3 0 0 945459 339063 93750 2906033 1363243046 227436 227436
98 3 0 0 945465 339097 93751 2906046 1363243046 227436 227436
144 4 0 0 945475 339132 93754 2906058 1363243046 227436 227436
190 4 0 0 945485 339174 93756 2906069 1363243046 227436 227436
237 4 0 0 945495 339210 93758 2906082 1363243047 227436 227436
283 4 0 0 945505 339246 93761 2906094 1363243047 227436 227436
324 5 0 0 945513 339282 93764 2906110 1363243047 227436 227436
367 5 0 0 945519 339317 93767 2906124 1363243047 227436 227436
410 5 0 0 945529 339354 93768 2906136 1363243047 227436 227436
456 5 0 0 945538 339392 93771 2906150 1363243047 227436 227436
508 5 0 0 945548 339436 93773 2906159 1363243048 227436 227436
550 5 0 0 945557 339470 93776 2906175 1363243048 227436 227436
596 5 0 0 945565 339505 93778 2906188 1363243048 227436 227436
638 8 0 0 945574 339540 93783 2906200 1363243048 227436 227436
680 8 0 0 945581 339574 93785 2906214 1363243048 227436 227436
723 9 0 0 945591 339610 93788 2906226 1363243048 227436 227436
768 10 0 0 945601 339648 93791 2906238 1363243048 227436 227436
814 10 0 0 945608 339686 93792 2906252 1363243049 227436 227436
860 11 0 0 945615 339727 93797 2906262 1363243049 227436 227436
908 12 0 0 945624 339766 93801 2906274 1363243049 227436 227436
954 12 0 0 945633 339803 93804 2906288 1363243049 227436 227436
1001 12 0 0 945642 339841 93807 2906300 1363243049 227436 227436
1047 13 0 0 945649 339878 93810 2906314 1363243049 227436 227436
1091 13 0 0 945659 339914 93813 2906326 1363243050 227436 227436
1140 13 0 0 945670 339952 93816 2906336 1363243050 227436 227436
1185 14 0 0 945682 339988 93818 2906348 1363243050 227436 227436
1239 14 0 0 945693 340028 93822 2906357 1363243050 227436 227436
1283 14 0 0 945700 340062 93825 2906370 1363243050 227436 227436
1329 15 0 0 945711 340100 93828 2906381 1363243050 227436 227436
1373 16 0 0 945717 340136 93832 2906394 1363243051 227436 227436
1420 16 0 0 945727 340175 93835 2906404 1363243051 227436 227436
1465 17 0 0 945734 340214 93838 2906415 1363243051 227436 227436
1510 18 0 0 945740 340254 93840 2906428 1363243051 227436 227436
1554 18 0 0 945747 340292 93843 2906439 1363243051 227436 227436
1596 20 0 0 945755 340323 93845 2906454 1363243051 227436 227436
1634 21 0 0 945764 340352 93847 2906469 1363243051 227436 227436
1670 22 0 0 945772 340378 93848 2906484 1363243052 227436 227436
1709 22 0 0 945777 340415 93850 2906498 1363243052 227436 227436
1749 23 0 0 945783 340445 93851 2906514 1363243052 227436 227436
1788 24 0 0 945791 340478 93852 2906528 1363243052 227436 227436
1825 24 0 0 945797 340507 93854 2906543 1363243052 227436 227436
1864 25 0 0 945805 340538 93855 2906558 1363243052 227436 227436
1903 25 0 0 945814 340569 93856 2906572 1363243052 227436 227436
1942 25 0 0 945823 340598 93856 2906585 1363243053 227436 227436
1982 26 0 0 945829 340630 93859 2906600 1363243053 227436 227436
2020 26 0 0 945835 340658 93859 2906617 1363243053 227436 227436
2057 26 0 0 945843 340686 93860 2906631 1363243053 227436 227436
2096 26 0 0 945851 340720 93861 2906647 1363243053 227436 227436
2136 26 0 0 945859 340751 93861 2906662 1363243053 227436 227436
2174 26 0 0 945867 340782 93862 2906677 1363243053 227436 227436
2208 28 0 0 945871 340810 93866 2906696 1363243053 227436 202848
