utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 355314 127991 36006 1027838 1363236172 126960 126960
10 4 0 0 355325 127991 36010 1027877 1363236173 132996 132996
23 4 0 0 355338 127991 36011 1027915 1363236173 132996 132996
36 4 0 0 355351 127991 36011 1027953 1363236173 132996 132996
48 4 0 0 355364 127991 36011 1027991 1363236173 132996 132996
62 4 0 0 355377 127991 36012 1028029 1363236173 132996 132996
74 4 0 0 355391 127991 36012 1028067 1363236173 132996 132996
87 4 0 0 355404 127991 36013 1028106 1363236173 132996 132996
100 4 0 0 355417 127991 36013 1028144 1363236173 132996 132996
113 4 0 0 355431 127991 36013 1028182 1363236174 132996 132996
126 4 0 0 355444 127991 36014 1028220 1363236174 132996 132996
139 4 0 0 355457 127991 36015 1028258 1363236174 132996 132996
152 4 0 0 355470 127991 36016 1028296 1363236174 132996 132996
165 4 0 0 355483 127991 36016 1028335 1363236174 132996 132996
178 4 0 0 355497 127991 36017 1028373 1363236174 132996 132996
191 4 0 0 355509 127991 36017 1028411 1363236174 132996 132996
204 4 0 0 355523 127991 36017 1028449 1363236174 132996 132996
217 4 0 0 355537 127991 36019 1028487 1363236175 132996 132996
231 4 0 0 355551 127991 36020 1028528 1363236175 132996 132996
245 4 0 0 355565 127991 36021 1028567 1363236175 132996 132996
259 4 0 0 355580 127991 36023 1028607 1363236175 132996 132996
273 4 0 0 355594 127991 36024 1028646 1363236175 132996 132996
287 4 0 0 355609 127991 36025 1028685 1363236175 132996 132996
300 4 0 0 355624 127991 36027 1028725 1363236175 132996 132996
314 4 0 0 355639 127991 36028 1028765 1363236176 132996 132996
329 4 0 0 355655 127991 36031 1028802 1363236176 132996 132996
343 4 0 0 355671 127991 36031 1028842 1363236176 132996 132996
358 4 0 0 355686 127991 36033 1028883 1363236176 132996 132996
372 4 0 0 355702 127991 36035 1028923 1363236176 132996 132996
386 4 0 0 355717 127991 36037 1028963 1363236176 132996 132996
400 4 0 0 355733 127991 36039 1029003 1363236176 132996 132996
415 4 0 0 355749 127991 36041 1029044 1363236177 132996 132996
429 4 0 0 355764 127991 36043 1029083 1363236177 132996 132996
444 4 0 0 355779 127991 36046 1029124 1363236177 132996 132996
458 4 0 0 355793 127991 36047 1029163 1363236177 132996 132996
472 4 0 0 355809 127991 36049 1029204 1363236177 132996 132996
487 4 0 0 355825 127991 36051 1029244 1363236177 132996 132996
501 4 0 0 355840 127991 36052 1029283 1363236177 132996 132996
516 4 0 0 355855 127991 36054 1029324 1363236178 132996 132996
530 4 0 0 355872 127991 36056 1029365 1363236178 132996 132996
544 4 0 0 355887 127991 36058 1029404 1363236178 132996 132996
558 4 0 0 355903 127991 36060 1029445 1363236178 132996 132996
573 4 0 0 355918 127991 36063 1029485 1363236178 132996 132996
587 4 0 0 355933 127991 36065 1029524 1363236178 132996 132996
602 4 0 0 355948 127991 36065 1029564 1363236178 132996 132996
616 4 0 0 355962 127991 36068 1029604 1363236179 132996 132996
630 4 0 0 355978 127991 36070 1029643 1363236179 132996 132996
644 4 0 0 355993 127991 36071 1029683 1363236179 132996 132996
658 4 0 0 356008 127991 36073 1029723 1363236179 132996 132996
