utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 284311 126908 29366 844483 1363235514 126960 126960
16 4 0 0 284329 126908 29372 844517 1363235514 182960 182960
47 4 0 0 284364 126908 29374 844547 1363235514 182960 182960
77 6 0 0 284396 126908 29378 844571 1363235515 182960 182960
107 6 0 0 284427 126908 29380 844598 1363235515 182960 182960
138 6 0 0 284460 126908 29381 844623 1363235515 182960 182960
170 7 0 0 284492 126908 29384 844649 1363235515 182960 182960
201 7 0 0 284528 126908 29385 844675 1363235515 182960 182960
232 8 0 0 284562 126908 29388 844700 1363235515 182960 182960
263 8 0 0 284594 126908 29390 844725 1363235516 182960 182960
296 8 0 0 284625 126908 29394 844752 1363235516 182960 182960
327 8 0 0 284656 126908 29396 844776 1363235516 182960 182960
357 9 0 0 284685 126908 29400 844802 1363235516 182960 182960
388 9 0 0 284720 126908 29401 844826 1363235516 182960 182960
419 10 0 0 284752 126908 29405 844852 1363235516 182960 182960
450 10 0 0 284782 126908 29407 844878 1363235516 182960 182960
480 10 0 0 284814 126908 29409 844903 1363235517 182960 182960
511 10 0 0 284848 126908 29411 844928 1363235517 182960 182960
541 11 0 0 284880 126908 29416 844953 1363235517 182960 182960
572 12 0 0 284914 126908 29418 844978 1363235517 182960 182960
604 12 0 0 284948 126908 29421 845003 1363235517 182960 182960
633 13 0 0 284981 126908 29423 845028 1363235517 182960 182960
664 13 0 0 285011 126908 29425 845053 1363235517 182960 182960
697 13 0 0 285053 126908 29427 845078 1363235518 182960 182960
727 14 0 0 285081 126908 29430 845103 1363235518 182960 182960
759 14 0 0 285114 126908 29433 845129 1363235518 182960 182960
790 16 0 0 285140 126908 29435 845155 1363235518 182960 182960
821 16 0 0 285170 126908 29439 845180 1363235518 182960 182960
852 16 0 0 285207 126908 29441 845205 1363235518 182960 182960
884 16 0 0 285241 126908 29443 845230 1363235519 182960 182960
917 16 0 0 285279 126908 29445 845255 1363235519 182960 182960
950 16 0 0 285313 126908 29448 845280 1363235519 182960 182960
981 16 0 0 285344 126908 29449 845306 1363235519 182960 182960
1012 16 0 0 285377 126908 29451 845331 1363235519 182960 182960
1044 16 0 0 285408 126908 29453 845357 1363235519 182960 182960
1074 17 0 0 285439 126908 29457 845382 1363235519 182960 182960
1101 17 0 0 285465 126908 29458 845410 1363235520 182960 182960
1129 17 0 0 285500 126908 29459 845436 1363235520 182960 182960
1159 17 0 0 285530 126908 29460 845460 1363235520 182960 182960
1188 18 0 0 285561 126908 29463 845486 1363235520 182960 182960
1216 18 0 0 285587 126908 29465 845514 1363235520 182960 182960
1248 18 0 0 285618 126908 29468 845538 1363235520 182960 182960
1280 19 0 0 285653 126908 29470 845562 1363235520 182960 182960
1309 20 0 0 285685 126908 29473 845588 1363235521 182960 182960
1339 20 0 0 285713 126908 29474 845614 1363235521 182960 182960
1366 20 0 0 285742 126908 29476 845638 1363235521 182960 182960
1398 21 0 0 285769 126908 29481 845663 1363235521 182960 182960
1429 22 0 0 285805 126908 29483 845687 1363235521 182960 182960
1460 22 0 0 285837 126908 29484 845712 1363235521 182960 182960
1490 22 0 0 285867 126908 29487 845736 1363235521 182960 182960
1522 22 0 0 285900 126908 29489 845761 1363235522 182960 182960
1552 22 0 0 285930 126908 29491 845786 1363235522 182960 182960
1584 23 0 0 285961 126908 29495 845809 1363235522 182960 182960
1612 23 0 0 285989 126908 29496 845836 1363235522 182960 182960
1638 23 0 0 286019 126908 29497 845861 1363235522 182960 182960
1667 23 0 0 286048 126908 29499 845888 1363235522 182960 182960
1696 24 0 0 286079 126908 29501 845912 1363235522 182960 182960
1724 24 0 0 286109 126908 29503 845937 1363235523 182960 182960
1754 24 0 0 286139 126908 29505 845960 1363235523 182960 182960
1786 25 0 0 286173 126908 29507 845984 1363235523 182960 182960
1816 25 0 0 286201 126908 29510 846009 1363235523 182960 182960
1841 26 0 0 286225 126908 29512 846037 1363235523 182960 182960
1869 26 0 0 286258 126908 29513 846063 1363235523 182960 182960
1898 26 0 0 286289 126908 29516 846090 1363235523 182960 182960
1924 26 0 0 286319 126908 29517 846118 1363235524 182960 182960
1951 27 0 0 286348 126908 29518 846140 1363235524 182960 182960
1976 28 0 0 286373 126908 29520 846168 1363235524 182960 182960
2005 29 0 0 286403 126908 29525 846193 1363235524 182960 182960
2037 29 0 0 286436 126908 29527 846219 1363235524 182960 182960
2067 30 0 0 286467 126908 29531 846245 1363235524 182960 182960
2098 30 0 0 286500 126908 29531 846270 1363235524 182960 182960
2130 30 0 0 286531 126908 29535 846294 1363235525 182960 182960
2159 31 0 0 286566 126908 29537 846320 1363235525 182960 182960
2188 32 0 0 286596 126908 29539 846346 1363235525 182960 182960
2218 33 0 0 286625 126908 29541 846372 1363235525 182960 182960
2249 33 0 0 286655 126908 29544 846396 1363235525 182960 182960
2278 34 0 0 286684 126908 29547 846422 1363235525 182960 182960
2310 34 0 0 286723 126908 29549 846446 1363235526 182960 182960
2343 34 0 0 286753 126908 29552 846470 1363235526 182960 182960
2369 35 0 0 286779 126908 29555 846498 1363235526 182960 182960
2399 36 0 0 286809 126908 29556 846522 1363235526 182960 182960
2423 36 0 0 286835 126908 29558 846551 1363235526 182960 182960
2451 36 0 0 286862 126908 29559 846580 1363235526 182960 182960
2478 36 0 0 286895 126908 29560 846606 1363235526 182960 182960
2510 38 0 0 286925 126908 29563 846630 1363235527 182960 182960
2541 39 0 0 286957 126908 29567 846654 1363235527 182960 182960
2570 39 0 0 286987 126908 29569 846680 1363235527 182960 182960
2604 39 0 0 287022 126908 29570 846706 1363235527 182960 182960
2634 39 0 0 287057 126908 29571 846731 1363235527 182960 182960
2662 40 0 0 287084 126908 29573 846755 1363235527 182960 182960
2692 40 0 0 287110 126908 29576 846780 1363235527 182960 182960
2723 41 0 0 287145 126908 29578 846805 1363235528 182960 182960
2752 42 0 0 287175 126908 29580 846830 1363235528 182960 182960
2780 42 0 0 287208 126908 29583 846856 1363235528 182960 182960
2810 42 0 0 287242 126908 29584 846881 1363235528 182960 182960
2837 43 0 0 287266 126908 29587 846906 1363235528 182960 182960
2865 43 0 0 287299 126908 29589 846934 1363235528 182960 182960
