utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 388425 139898 39391 1110438 1363236502 126960 126960
11 2 0 0 388437 139898 39394 1110477 1363236502 150596 150596
24 2 0 0 388449 139898 39394 1110515 1363236502 151480 151480
37 2 0 0 388463 139898 39394 1110553 1363236502 151480 151480
50 2 0 0 388477 139898 39396 1110593 1363236502 151480 151480
64 2 0 0 388491 139898 39398 1110632 1363236503 151480 151480
78 2 0 0 388507 139898 39399 1110671 1363236503 151480 151480
92 2 0 0 388521 139898 39401 1110711 1363236503 151480 151480
106 2 0 0 388535 139898 39404 1110751 1363236503 151480 151480
120 2 0 0 388550 139898 39406 1110790 1363236503 151480 151480
134 2 0 0 388565 139898 39408 1110829 1363236503 151480 151480
148 2 0 0 388580 139898 39410 1110869 1363236503 151480 151480
162 2 0 0 388595 139898 39412 1110909 1363236503 151480 151480
177 2 0 0 388609 139898 39415 1110949 1363236504 151480 151480
191 2 0 0 388625 139898 39418 1110989 1363236504 151480 151480
206 2 0 0 388641 139898 39418 1111029 1363236504 151480 151480
220 2 0 0 388655 139898 39421 1111069 1363236504 151480 151480
234 2 0 0 388671 139898 39422 1111111 1363236504 151480 151480
249 2 0 0 388687 139898 39424 1111150 1363236504 151480 151480
263 2 0 0 388703 139898 39426 1111189 1363236505 151480 151480
278 2 0 0 388718 139898 39429 1111229 1363236505 151480 151480
292 2 0 0 388733 139898 39431 1111269 1363236505 151480 151480
306 2 0 0 388749 139898 39432 1111309 1363236505 151480 151480
321 2 0 0 388763 139898 39434 1111349 1363236505 151480 151480
335 2 0 0 388779 139898 39435 1111389 1363236505 151480 151480
350 2 0 0 388795 139898 39436 1111429 1363236505 151480 151480
364 2 0 0 388811 139898 39438 1111470 1363236506 151480 151480
378 2 0 0 388827 139898 39440 1111510 1363236506 151480 151480
393 2 0 0 388843 139898 39442 1111550 1363236506 151480 151480
407 2 0 0 388859 139898 39442 1111590 1363236506 151480 151480
421 2 0 0 388873 139898 39446 1111631 1363236506 151480 151480
435 2 0 0 388888 139898 39447 1111670 1363236506 151480 151480
450 2 0 0 388903 139898 39449 1111711 1363236506 151480 151480
464 2 0 0 388918 139898 39451 1111751 1363236507 151480 151480
478 2 0 0 388933 139898 39453 1111791 1363236507 151480 151480
493 2 0 0 388948 139898 39454 1111831 1363236507 151480 151480
507 2 0 0 388965 139898 39456 1111871 1363236507 151480 151480
522 2 0 0 388979 139898 39459 1111911 1363236507 151480 151480
536 2 0 0 388994 139898 39461 1111951 1363236507 151480 151480
549 2 0 0 389008 139898 39462 1111990 1363236507 151480 151480
562 2 0 0 389021 139898 39462 1112028 1363236508 151480 151480
575 2 0 0 389034 139898 39464 1112066 1363236508 151480 151480
588 2 0 0 389047 139898 39464 1112105 1363236508 151480 151480
601 2 0 0 389060 139898 39465 1112143 1363236508 151480 151480
614 2 0 0 389073 139898 39465 1112181 1363236508 151480 151480
