utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 1064828 382211 105748 3199222 1363244221 126992 126992
14 3 0 0 1064842 382211 105751 3199259 1363244221 173424 173424
42 3 0 0 1064872 382211 105753 3199287 1363244221 173424 173424
68 4 0 0 1064901 382211 105756 3199315 1363244221 173424 173424
93 7 0 0 1064926 382211 105762 3199343 1363244222 173424 173424
122 7 0 0 1064954 382211 105763 3199370 1363244222 173424 173424
147 8 0 0 1064987 382211 105768 3199397 1363244222 173424 173424
174 9 0 0 1065015 382211 105769 3199425 1363244222 173424 173424
200 11 0 0 1065046 382211 105773 3199452 1363244222 173424 173424
228 12 0 0 1065074 382211 105776 3199479 1363244222 173424 173424
253 14 0 0 1065101 382211 105781 3199506 1363244222 173424 173424
279 15 0 0 1065128 382211 105784 3199533 1363244223 173424 173424
302 18 0 0 1065152 382211 105789 3199563 1363244223 173424 173424
329 19 0 0 1065177 382211 105793 3199590 1363244223 173424 173424
354 20 0 0 1065204 382211 105795 3199618 1363244223 173424 173424
382 21 0 0 1065230 382211 105797 3199646 1363244223 173424 173424
405 23 0 0 1065256 382211 105801 3199675 1363244223 173424 173424
432 25 0 0 1065282 382211 105805 3199701 1363244224 173424 173424
458 27 0 0 1065305 382211 105809 3199729 1363244224 173424 173424
